id;Nome;Partido;Estado;Legislatura
74655;EDUARDO BARBOSA;PSDB;MG;53
74173;EDUARDO CUNHA;PMDB;RJ;53
141421;EDUARDO DA FONTE;PP**;PE;53
73945;EDUARDO GOMES;PSDB;TO;53
4928;EDUARDO LOPES;PRB;RJ;53
150876;EDUARDO MOURA;PPS;MT;53
74382;EDUARDO SCIARRA;DEM;PR;53
73938;EDUARDO VALVERDE;PT;RO;53
141422;EFRAIM FILHO;DEM;PB;53
74075;ELCIONE BARBALHO;PMDB;PA;53
154919;ELEUSES PAIVA;DEM;SP;53
141423;ELIENE LIMA;PP**;MT;53
74198;ELISEU MOURA;PP**;MA;53
73892;ELISEU PADILHA;PMDB;RS;53
141424;ELISMAR PRADO;PT;MG;53
152609;ELIZEU AGUIAR;PTB;PI;53
74119;EMANUEL FERNANDES;PSDB;SP;53
153384;EMILIA FERNANDES;PT;RS;53
154997;EMILIANO JOSÉ;PT;BA;53
74269;ENÉAS;PR;SP;53
73893;ENIO BACCI;PDT;RS;53
141425;ERNANDES AMORIM;PTB;RO;53
141386;EUDES XAVIER;PT;CE;53
141426;EUGÊNIO RABELO;PP**;CE;53
74454;EUNÍCIO OLIVEIRA;PMDB;CE;53
74099;EURIPEDES MIRANDA;PT;RO;53
74345;EVANDRO MILHOMEN;PCdoB;AP;53
141428;FÁBIO FARIA;PMN;RN;53
141427;FÁBIO RAMALHO;PV;MG;53
74062;FÁBIO SOUTO;DEM;BA;53
74037;FÁTIMA BEZERRA;PT;RN;53
74065;FÁTIMA PELAES;PMDB;AP;53
141430;FELIPE BORNIER;PHS;RJ;53
141429;FELIPE MAIA;DEM;RN;53
74542;FÉLIX MENDONÇA;DEM;BA;53
154734;FERNANDO CHIARELLI;PDT;SP;53
141344;FERNANDO CHUCRE;PSDB;SP;53
141431;FERNANDO COELHO FILHO;PSB;PE;53
73471;FERNANDO CORUJA;PPS;SC;53
74063;FERNANDO DE FABINHO;DEM;BA;53
74658;FERNANDO DINIZ;PMDB;MG;53
74417;FERNANDO FERRO;PT;PE;53
74841;FERNANDO GABEIRA;PV;RJ;53
74842;FERNANDO GONÇALVES;PTB;RJ;53
74843;FERNANDO LOPES;PMDB;RJ;53
73481;FERNANDO MARRONI;PT;RS;53
141432;FERNANDO MELO;PT;AC;53
152608;FERNANDO NASCIMENTO;PT;PE;53
74487;FERNANDO WILLIAM;PMN;RJ;53
141433;FILIPE PEREIRA;PSC;RJ;53
141434;FLAVIANO MELO;PMDB;AC;53
159260;FLAVIO ANTUNES;PSDB;PR;53
141435;FLÁVIO BEZERRA;PRB;CE;53
141436;FLÁVIO DINO;PCdoB;MA;53
141438;FRANCISCO PRACIANO;PT;AM;53
73981;FRANCISCO RODRIGUES;DEM;RR;53
139212;FRANCISCO ROSSI;PMDB;SP;53
141467;FRANCISCO TENORIO;PMN;AL;53
141437;FRANK AGUIAR;PTB;SP;53
86634;FREDO JUNIOR;PCdoB;DF;53
74189;FREIRE JÚNIOR;PSDB;TO;53
74200;GASTÃO VIEIRA;PMDB;MA;53
74544;GEDDEL VIEIRA LIMA;PMDB;BA;53
141441;GEORGE HILTON;PRB;MG;53
155920;GERALDINHO;PSOL;RS;53
